OBJECTID,Network,Bikeway,Street,From_,To_,Shape_Leng,Install_Date,Region,Bikeway_Type,Datasource_DT
173,Backbone,Route,MAIN ST,28TH ST,28TH ST,,2005/01/01 00:00:00+00,South Los Angeles,Route,2023/10/17 00:00:00+00
174,Backbone,Route,MAIN ST,JEFFERSON BL,35TH ST,,2005/01/01 00:00:00+00,Central/South,Route,2023/10/17 00:00:00+00
175,Backbone,Sharrowed Route,ARDEN BL,6TH ST,WILSHIRE BL,,2011/10/02 00:00:00+00,North Central,Sharrowed Route,2023/10/17 00:00:00+00
176,Backbone,Sharrowed Route,3RD ST,LUCERNE BL,ARDEN BL,,2011/10/02 00:00:00+00,North Central,Sharrowed Route,2023/10/17 00:00:00+00
177,Backbone,Route,WESTWOOD BL,AYRES AV,CUSHDON AV,,2005/01/01 00:00:00+00,West Los Angeles,Route,2023/10/17 00:00:00+00
178,Backbone,Route,WESTWOOD BL,ASHBY AV,EXPOSITION BL,,2005/01/01 00:00:00+00,West Los Angeles,Route,2023/10/17 00:00:00+00
179,Backbone,Lane,VAN NUYS BL,OXNARD ST,TIARA ST,,2012/04/15 00:00:00+00,East Valley,Lane,2023/10/17 00:00:00+00
180,Backbone,Lane,VAN NUYS BL,CALIFA ST,EMELITA ST,,2012/04/15 00:00:00+00,East Valley,Lane,2023/10/17 00:00:00+00
181,Backbone,Lane,WHITE OAK AV,VALERIO ST,WYANDOTTE ST,,2012/05/06 00:00:00+00,West Valley,Lane,2023/10/17 00:00:00+00
182,Backbone,Lane,WHITE OAK AV,ROSCOE BL,LANARK ST,,2012/05/06 00:00:00+00,West Valley,Lane,2023/10/17 00:00:00+00
183,Backbone,Lane,MAIN ST,97TH ST,98TH ST,,2012/04/28 00:00:00+00,South Los Angeles,Lane,2023/10/17 00:00:00+00
184,Backbone,Lane,MAIN ST,99TH ST,CENTURY BL,,2012/04/28 00:00:00+00,South Los Angeles,Lane,2023/10/17 00:00:00+00
185,Backbone,Lane,MAIN ST,106TH ST,107TH ST,,2012/04/28 00:00:00+00,South Los Angeles,Lane,2023/10/17 00:00:00+00
186,Backbone,Lane,YORK BL,MESA AV,ALDAMA ST,,2012/07/01 00:00:00+00,North Central,Lane,2023/10/17 00:00:00+00
187,Backbone,Buffer Bike Lane,YORK BL,AVENUE 57,NOLDEN ST,,2022/01/25 00:00:00+00,North Central,Buffer Bike Lane,2023/10/17 00:00:00+00
188,Backbone,Lane,YORK BL,FIGUEROA ST,MOUNT ANGELUS DR,,2012/07/01 00:00:00+00,North Central,Lane,2023/10/17 00:00:00+00
189,Backbone,Lane,LAUREL CANYON BL,EDGECLIFF AV,HUBBARD ST,,2012/05/13 00:00:00+00,East Valley,Lane,2023/10/17 00:00:00+00
190,Backbone,Lane,LAUREL CANYON BL,HUBBARD ST,RINCON AV,,2012/05/13 00:00:00+00,East Valley,Lane,2023/10/17 00:00:00+00
191,Neighborhood,Lane,COLFAX AV,LANDALE ST,MOORPARK ST,,2005/04/11 00:00:00+00,East Valley,Lane,2023/10/17 00:00:00+00
192,Backbone,Lane,RESEDA BL,VANOWEN ST,KITTRIDGE ST,,2009/06/30 00:00:00+00,West Valley,Lane,2023/10/17 00:00:00+00
193,Neighborhood,Lane,TEMESCAL CANYON RD,SUNSET BL,HAVERFORD AV,,2005/01/01 00:00:00+00,West Los Angeles,Lane,2023/10/17 00:00:00+00
194,Neighborhood,Lane,WOODLEY AV,LASSEN ST,KINZIE ST,,2005/01/01 00:00:00+00,West Valley,Lane,2023/10/17 00:00:00+00
195,Neighborhood,Lane,WOODLEY AV,DEVONSHIRE ST,MAYALL ST,,2005/01/01 00:00:00+00,West Valley,Lane,2023/10/17 00:00:00+00
196,Neighborhood,Lane,WOODLEY AV,SAN JOSE ST,DEVONSHIRE ST,,2005/01/01 00:00:00+00,West Valley,Lane,2023/10/17 00:00:00+00
197,Neighborhood,Lane,WOODLEY AV,SUPERIOR ST,PLUMMER ST,,2005/01/01 00:00:00+00,West Valley,Lane,2023/10/17 00:00:00+00
198,Neighborhood,Lane,WOODLEY AV,CANTLAY ST,SHERMAN WY,,2005/01/01 00:00:00+00,West Valley,Lane,2023/10/17 00:00:00+00
199,Backbone,Sharrowed Route,ADAMS BL,ST JAMES PL,SEVERANCE ST,,2010/07/07 00:00:00+00,South Los Angeles,Sharrowed Route,2023/10/17 00:00:00+00
200,Backbone,Sharrowed Route,ADAMS BL,HOOVER ST,MONMOUTH AV,,2010/07/07 00:00:00+00,South Los Angeles,Sharrowed Route,2023/10/17 00:00:00+00
201, ,Lane,VERMONT AV,76TH ST,77TH ST,,2013/03/05 00:00:00+00,South Los Angeles,Lane,2023/10/17 00:00:00+00
202, ,Lane,BRADDOCK DR,CENTINELA AV,VERDI ST/WESTLAWN AV,,2013/03/18 00:00:00+00,West Los Angeles,Lane,2023/10/17 00:00:00+00
203, ,Sharrowed Route,ABBOT KINNEY BL,COEUR D'ALENE AV,ANGELUS PL,,2013/03/05 00:00:00+00,West Los Angeles,Sharrowed Route,2023/10/17 00:00:00+00
204, ,Sharrowed Route,ABBOT KINNEY BL,CRESTMOORE PL,WOODLAWN AV,,2013/03/05 00:00:00+00,West Los Angeles,Sharrowed Route,2023/10/17 00:00:00+00
205, ,Sharrowed Route,OCEAN AV,CARROLL AV,CARROLL CANAL CT,,2013/03/07 00:00:00+00,West Los Angeles,Sharrowed Route,2023/10/17 00:00:00+00
206, ,Sharrowed Route,OCEAN AV,LINNIE CANAL CT,HOWLAND CANAL CT/HOLLY CT,,2013/03/07 00:00:00+00,West Los Angeles,Sharrowed Route,2023/10/17 00:00:00+00
207, ,Sharrowed Route,OCEAN AV,28TH AV,WASHINGTON BL,,2013/03/07 00:00:00+00,West Los Angeles,Sharrowed Route,2023/10/17 00:00:00+00
208, ,Sharrowed Route,MILDRED AV,WILSON AV,BOONE AV,,2013/03/11 00:00:00+00,West Los Angeles,Sharrowed Route,2023/10/17 00:00:00+00
209, ,Sharrowed Route,PACIFIC AV,20TH PL,NORTH VENICE BL,,2013/03/15 00:00:00+00,West Los Angeles,Sharrowed Route,2023/10/17 00:00:00+00
210, ,Sharrowed Route,PACIFIC AV,17TH AV/VENICE WY,17TH PL,,2013/03/15 00:00:00+00,West Los Angeles,Sharrowed Route,2023/10/17 00:00:00+00
211, ,Sharrowed Route,ROSE AV,3RD AV,HAMPTON DR,,2013/03/31 00:00:00+00,West Los Angeles,Sharrowed Route,2023/10/17 00:00:00+00
212, ,Sharrowed Route,ROSE AV,SPEEDWAY,OCEAN FRONT WALK,,2013/03/31 00:00:00+00,West Los Angeles,Sharrowed Route,2023/10/17 00:00:00+00
213,Backbone,Route,LORENA ST,GARNET ST,OPAL ST,,2005/01/01 00:00:00+00,North Central,Route,2023/10/17 00:00:00+00
214,Backbone,Route,LORENA ST,8TH ST,ESTRADA ST,,2005/01/01 00:00:00+00,North Central,Route,2023/10/17 00:00:00+00
215,Backbone,Route,LORENA ST,LANFRANCO ST,6TH ST,,2005/01/01 00:00:00+00,North Central,Route,2023/10/17 00:00:00+00
216,Backbone,Route,LORENA ST,7TH ST,ATLANTIC ST,,2005/01/01 00:00:00+00,North Central,Route,2023/10/17 00:00:00+00
217,Backbone,Route,LORENA ST,4TH ST,EAGLE ST,,2005/01/01 00:00:00+00,North Central,Route,2023/10/17 00:00:00+00
218,Backbone,Route,LORENA ST,4TH ST,5TH ST,,2005/01/01 00:00:00+00,North Central,Route,2023/10/17 00:00:00+00
219,Backbone,Lane,VERMONT AV,CENTURY BL,101ST ST,,2012/04/26 00:00:00+00,South Los Angeles,Lane,2023/10/17 00:00:00+00
220,Backbone,Lane,VERMONT AV,99TH ST,CENTURY BL,,2012/04/26 00:00:00+00,South Los Angeles,Lane,2023/10/17 00:00:00+00
221,Backbone,Lane,VERMONT AV,109TH PL,110TH ST,,2012/04/26 00:00:00+00,South Los Angeles,Lane,2023/10/17 00:00:00+00
222, ,Sharrowed Route,SAN PEDRO ST,67TH ST,68TH ST,,2014/04/14 00:00:00+00,South Los Angeles,Sharrowed Route,2023/10/17 00:00:00+00
223, ,Sharrowed Route,SAN PEDRO ST,68TH ST,69TH ST,,2014/04/14 00:00:00+00,South Los Angeles,Sharrowed Route,2023/10/17 00:00:00+00
224,Backbone,Lane,EXPOSITION BLVD,VICTORIA AV,SOMERSET DR,,2011/06/01 00:00:00+00,South Los Angeles,Lane,2023/10/17 00:00:00+00
225,Neighborhood,Lane,GATEWAY BL,STONER AV,GRANVILLE AV,,2013/02/03 00:00:00+00,West Los Angeles,Lane,2023/10/17 00:00:00+00
226,Neighborhood,Lane,GATEWAY BL,BARRINGTON AV,STONER AV,,2013/02/03 00:00:00+00,West Los Angeles,Lane,2023/10/17 00:00:00+00
227,Neighborhood,Lane,GATEWAY BL,COLBY AV,COOLIDGE AV,,2013/02/03 00:00:00+00,West Los Angeles,Lane,2023/10/17 00:00:00+00
228,Neighborhood,Lane,GATEWAY BL,PICO BL,COLBY AV,,2013/02/03 00:00:00+00,West Los Angeles,Lane,2023/10/17 00:00:00+00
229,Backbone,Lane,BURTON WY,ALMONT DR,WETHERLY DR,,2013/01/27 00:00:00+00,West Los Angeles,Lane,2023/10/17 00:00:00+00
230,Backbone,Lane,BURTON WY,ARNAZ DR,135' W/O ARNAZ DR,,2013/01/27 00:00:00+00,West Los Angeles,Lane,2023/10/17 00:00:00+00
231,Backbone,Lane,SUNSET BL,MICHELTORENA ST,GOLDEN GATE AV,,2005/01/01 00:00:00+00,North Central,Lane,2023/10/17 00:00:00+00
232,Backbone,Lane,SUNSET BL,RESERVOIR ST,PARK AV,,2005/01/01 00:00:00+00,North Central,Lane,2023/10/17 00:00:00+00
233,Backbone,Lane,VALLEY CIRCLE BL,OSTRONIC DR,VENTURA BL,,2005/01/01 00:00:00+00,West Valley,Lane,2023/10/17 00:00:00+00
234,Backbone,Lane,VENICE BL,SAN VICENTE BL,RIMPAU BL,,2005/01/01 00:00:00+00,South Los Angeles,Lane,2023/10/17 00:00:00+00
235,Backbone,Route,VERMONT AV,38TH ST,39TH ST,,2005/01/01 00:00:00+00,South Los Angeles,Route,2023/10/17 00:00:00+00
236,Backbone,Lane,WASHINGTON BL,STRONG'S PL,PACIFIC AV,,2005/01/01 00:00:00+00,West Los Angeles,Lane,2023/10/17 00:00:00+00
237,Backbone,Lane,WENTWORTH ST,WHEATLAND AV,STONEHURST AV,,2010/07/01 00:00:00+00,East Valley,Lane,2023/10/17 00:00:00+00
238,Backbone,Buffer Bike Lane,FIGUEROA ST,CAMERON LN,VENICE BL,,2018/06/24 00:00:00+00,South Los Angeles,Buffer Bike Lane,2023/10/17 00:00:00+00
239,Backbone,Protected Bike Lane,FIGUEROA ST,WASHINGTON BL,20TH ST,,2018/06/24 00:00:00+00,South Los Angeles,Protected Bike Lane,2023/10/17 00:00:00+00
240,Backbone,Lane,FIGUEROA ST,21ST ST,22ND ST,,2018/06/24 00:00:00+00,South Los Angeles,Lane,2023/10/17 00:00:00+00
241, ,Lane,SESNON BL,JOLETTE AV,NEON WY,,2014/04/07 00:00:00+00,West Valley,Lane,2023/10/17 00:00:00+00
242, ,Lane,SESNON BL,BALBOA BL,CONSTABLE AV,,2014/04/07 00:00:00+00,West Valley,Lane,2023/10/17 00:00:00+00
243, ,Lane,CALIFA ST,CANOGA AV,OWENSMOUTH AV,,2014/05/27 00:00:00+00,West Valley,Lane,2023/10/17 00:00:00+00
244,Backbone,Route,FIGUEROA ST,195' S/O LOMITA BL,340' S/O LOMITA BL,,2005/01/01 00:00:00+00,Harbor,Route,2023/10/17 00:00:00+00
245,Backbone,Lane,IMPERIAL HY,CALIFORNIA ST (EL SEGUNDO),900' W/O CALIFORNIA ST (EL SEGUNDO),,2005/01/01 00:00:00+00,West Los Angeles,Lane,2023/10/17 00:00:00+00
246,Neighborhood,Lane,PERSHING DR,SANDPIPER ST,WORLD WAY WEST,,2006/10/13 00:00:00+00,West Los Angeles,Lane,2023/10/17 00:00:00+00
247,Backbone,Lane,WESTCHESTER PY,SEPULVEDA EASTWAY,SEPULVEDA BL,,2005/01/01 00:00:00+00,West Los Angeles,Lane,2023/10/17 00:00:00+00
248,Backbone,Lane,WESTCHESTER PY,MCCONNELL AV,GEORGETOWN AV,,2005/01/01 00:00:00+00,West Los Angeles,Lane,2023/10/17 00:00:00+00
249,Backbone,Lane,WESTCHESTER PY,LOYOLA BL,FALMOUTH AV,,2005/01/01 00:00:00+00,West Los Angeles,Lane,2023/10/17 00:00:00+00
250,Backbone,Lane,WESTCHESTER PY,SEPULVEDA WESTWAY,LA TIJERA PY,,2005/01/01 00:00:00+00,West Los Angeles,Lane,2023/10/17 00:00:00+00
251,Backbone,Lane,WESTCHESTER PY,MCCONNELL AV,LOYOLA BL,,2005/01/01 00:00:00+00,West Los Angeles,Lane,2023/10/17 00:00:00+00
252, ,Lane,DEGNAN BL,41ST ST,STOCKER ST,,2012/12/16 00:00:00+00,South Los Angeles,Lane,2023/10/17 00:00:00+00
253,Neighborhood,Buffer Bike Lane,STRATHERN ST,WILKINSON AV,WHITSETT AV,,2022/11/22 00:00:00+00,East Valley,Buffer Bike Lane,2023/10/17 00:00:00+00
254,Neighborhood,Lane,STRATHERN ST,BONFIELD AV,BELLAIRE AV,,2005/01/01 00:00:00+00,East Valley,Lane,2023/10/17 00:00:00+00
255,Neighborhood,Buffer Bike Lane,STRATHERN ST,SHADYGLADE AV,RHODES AV,,2022/11/22 00:00:00+00,East Valley,Buffer Bike Lane,2023/10/17 00:00:00+00
256,Neighborhood,Lane,VALMAR RD,MULHOLLAND DR,BRENFORD ST,,2005/01/01 00:00:00+00,West Valley,Lane,2023/10/17 00:00:00+00
257,Neighborhood,Lane,WILBUR AV,DEARBORN ST,NORDHOFF ST,,2010/11/19 00:00:00+00,West Valley,Lane,2023/10/17 00:00:00+00
258,Neighborhood,Lane,WILBUR AV,BALLINGER ST,PLUMMER ST,,2010/11/19 00:00:00+00,West Valley,Lane,2023/10/17 00:00:00+00
259,Neighborhood,Lane,WILBUR AV,VINCENNES ST,PRAIRIE ST,,2010/11/19 00:00:00+00,West Valley,Lane,2023/10/17 00:00:00+00
260,Neighborhood,Lane,WILBUR AV,MAYALL ST,LASSEN ST,,2010/11/19 00:00:00+00,West Valley,Lane,2023/10/17 00:00:00+00
261,Neighborhood,Lane,WILBUR AV,LABRADOR ST,KINZIE ST,,2010/11/19 00:00:00+00,West Valley,Lane,2023/10/17 00:00:00+00
262,Backbone,Lane,VERMONT AV,88TH ST,90TH ST,,2012/04/26 00:00:00+00,South Los Angeles,Lane,2023/10/17 00:00:00+00
263,Backbone,Lane,VERMONT AV,108TH ST,109TH ST,,2012/04/26 00:00:00+00,South Los Angeles,Lane,2023/10/17 00:00:00+00
264,Backbone,Lane,VERMONT AV,ROSECRANS AV,146TH ST,,2012/06/03 00:00:00+00,Harbor,Lane,2023/10/17 00:00:00+00
265, ,Lane,OHIO AV,BUNDY DR,AMHERST AV,,2012/08/17 00:00:00+00,West Los Angeles,Lane,2023/10/17 00:00:00+00
266, ,Lane,BROAD AV,C ST,HARRY BRIDGES BL,,2012/08/18 00:00:00+00,Harbor,Lane,2023/10/17 00:00:00+00
267,Neighborhood,Lane,WILBUR AV,BRASILIA DR,PINE VALLEY AV,,2012/09/07 00:00:00+00,West Valley,Lane,2023/10/17 00:00:00+00
268,Neighborhood,Lane,WILBUR AV,CAPISTRANO LN,BRASILIA DR,,2012/09/07 00:00:00+00,West Valley,Lane,2023/10/17 00:00:00+00
269, ,Lane,ZELZAH AV,MERRIDY ST,LASSEN ST,,2012/09/09 00:00:00+00,West Valley,Lane,2023/10/17 00:00:00+00
270,Backbone,Lane,SOUTH VENICE BL,DELL AV,STRONG'S DR,,2005/01/01 00:00:00+00,West Los Angeles,Lane,2023/10/17 00:00:00+00
271, ,Lane,MOTOR AV,REGENT ST,VENICE BL,,2012/10/26 00:00:00+00,West Los Angeles,Lane,2023/10/17 00:00:00+00
272,Backbone,Lane,PASEO DEL MAR,AVERILL AV,JACKSTADT ST,,2005/01/01 00:00:00+00,Harbor,Lane,2023/10/17 00:00:00+00
273,Backbone,Lane,PASEO DEL MAR,DOLPHIN ST,AVERILL AV,,2005/01/01 00:00:00+00,Harbor,Lane,2023/10/17 00:00:00+00
274,Backbone,Path,CENTURY BL,CENTRAL AV,CLOVIS AV,,2005/01/01 00:00:00+00,South Los Angeles,Path,2023/10/17 00:00:00+00
275,Backbone,Lane,VERMONT AV,90TH ST,91ST ST,,2012/04/26 00:00:00+00,South Los Angeles,Lane,2023/10/17 00:00:00+00
276, ,Lane,BROAD AV,N ST,M ST,,2013/05/29 00:00:00+00,Harbor,Lane,2023/10/17 00:00:00+00
277, ,Lane,MARKET ST,RIVIERA AV,TOLEDO CT,,2013/05/29 00:00:00+00,West Los Angeles,Lane,2023/10/17 00:00:00+00
278, ,Lane,WASHINGTON BL,STANFORD AV,YALE AV,,2013/06/02 00:00:00+00,West Los Angeles,Lane,2023/10/17 00:00:00+00
279, ,Lane,SAN PEDRO ST,76TH PL,77TH ST,,2013/06/09 00:00:00+00,South Los Angeles,Lane,2023/10/17 00:00:00+00
280, ,Lane,SAN PEDRO ST,84TH PL,85TH ST,,2013/06/09 00:00:00+00,South Los Angeles,Lane,2023/10/17 00:00:00+00
281, ,Lane,SAN PEDRO ST,LANZIT AV,115TH ST,,2013/06/09 00:00:00+00,South Los Angeles,Lane,2023/10/17 00:00:00+00
282, ,Lane,SAN PEDRO ST,97TH ST,98TH ST,,2013/06/09 00:00:00+00,South Los Angeles,Lane,2023/10/17 00:00:00+00
283, ,Lane,SAN PEDRO ST,109TH PL,110TH ST,,2013/06/09 00:00:00+00,South Los Angeles,Lane,2023/10/17 00:00:00+00
284, ,Lane,SAN PEDRO ST,105TH ST,106TH ST,,2013/06/09 00:00:00+00,South Los Angeles,Lane,2023/10/17 00:00:00+00
285, ,Lane,SAN PEDRO ST,91ST ST,92ND ST,,2013/06/09 00:00:00+00,South Los Angeles,Lane,2023/10/17 00:00:00+00
286, ,Sharrowed Route,GRIFFIN AV,AVENUE 32,AVENUE 32,,2005/01/01 00:00:00+00,North Central,Sharrowed Route,2023/10/17 00:00:00+00
287, ,Sharrowed Route,GRIFFIN AV,AVENUE 32,AVENUE 31,,2005/01/01 00:00:00+00,North Central,Sharrowed Route,2023/10/17 00:00:00+00
288, ,Protected Bike Lane,3RD ST,OMAR AV,SAN PEDRO ST,,2022/09/26 00:00:00+00,North Central,Protected Bike Lane,2023/10/17 00:00:00+00
289, ,Lane,CLYBOURN AV,KESWICK ST,LULL ST,,2013/06/10 00:00:00+00,East Valley,Lane,2023/10/17 00:00:00+00
290, ,Lane,HAUSER BL,FULLER AV,DREXEL AV,,2013/06/10 00:00:00+00,Central,Lane,2023/10/17 00:00:00+00
291, ,Lane,E ST,FRIES AV,ISLAND AV,,2013/06/17 00:00:00+00,Harbor,Lane,2023/10/17 00:00:00+00
292, ,Lane,FOOTHILL BL,ASTORIA ST,POLK ST,,2013/06/17 00:00:00+00,East Valley,Lane,2023/10/17 00:00:00+00
293, ,Lane,DUMETZ RD,ALHAMA DR,PALENCIA AV,,2013/06/17 00:00:00+00,West Valley,Lane,2023/10/17 00:00:00+00
294, ,Lane,MONTANA ST,LIBERTY ST,ALVARADO ST,,2013/06/24 00:00:00+00,North Central,Lane,2023/10/17 00:00:00+00
295, ,Lane,MISSION RD,BARBEE ST,SELIG PL,,2013/06/30 00:00:00+00,North Central,Lane,2023/10/17 00:00:00+00
296,,Lane,WEST CHANNEL RD,EAST RUSTIC RD,CHANNEL LN,,2021/10/06 00:00:00+00,,Lane,2023/10/17 00:00:00+00
297,,Lane,WEST CHANNEL RD,MESA RD,EAST RUSTIC RD,,2021/10/06 00:00:00+00,,Lane,2023/10/17 00:00:00+00
298,,Sharrowed Route,WEST CHANNEL RD,SAGE LN,MESA RD,,2021/10/06 00:00:00+00,,Sharrowed Route,2023/10/17 00:00:00+00
299,Backbone,Lane,98TH ST,HOOVER ST,BARING CROSS ST,,2005/01/01 00:00:00+00,South Los Angeles,Lane,2023/10/17 00:00:00+00
300,Backbone,Lane,98TH ST,FIGUEROA ST,HOOVER ST,,2005/01/01 00:00:00+00,South Los Angeles,Lane,2023/10/17 00:00:00+00
301, ,Lane,ATHENS BL,MENLO AV,AINSWORTH ST,,2013/06/10 00:00:00+00,Harbor,Lane,2023/10/17 00:00:00+00
302, ,Lane,ATHENS BL,D/E E/O,DENVER AV,,2013/06/10 00:00:00+00,Harbor,Lane,2023/10/17 00:00:00+00
303,Backbone,Lane,VERMONT AV,120TH ST,123RD ST,,2012/06/03 00:00:00+00,Central/South,Lane,2023/10/17 00:00:00+00
304,Backbone,Lane,JOHN S GIBSON BL,FIGUEROA ST,HARBOR DEPT RD (PVT),,2005/01/01 00:00:00+00,Harbor,Lane,2023/10/17 00:00:00+00
305, ,Buffer Bike Lane,E ST,BANNING BL,QUAY AV,,2013/06/17 00:00:00+00,Harbor,Buffer Bike Lane,2023/10/17 00:00:00+00
306,,Buffer Bike Lane,FOOTHILL BLVD,BALBOA BL,BALBOA BL,,2014/06/18 00:00:00+00,East Valley,Buffer Bike Lane,2023/10/17 00:00:00+00
307, ,Buffer Bike Lane,E ST,QUAY AV,LAKME AV,,2013/06/17 00:00:00+00,Harbor,Buffer Bike Lane,2023/10/17 00:00:00+00
308, ,Buffer Bike Lane,E ST,MCFARLAND AV,EUBANK AV,,2013/06/17 00:00:00+00,Harbor,Buffer Bike Lane,2023/10/17 00:00:00+00
309,Backbone,Buffer Bike Lane,SPRING ST,CESAR E. CHAVEZ AV,NEW HIGH ST,,2011/11/20 00:00:00+00,North Central,Buffer Bike Lane,2023/10/17 00:00:00+00
310, ,Protected Bike Lane,GRAND AV,7TH ST,8TH ST,,2020/08/20 00:00:00+00,North Central,Protected Bike Lane,2023/10/17 00:00:00+00
311, ,Lane,NORDHOFF ST,CEDROS AV,WILLIS AV,,2013/04/07 00:00:00+00,East Valley,Lane,2023/10/17 00:00:00+00
312, ,Lane,NORDHOFF ST,KESTER AV,LEMONA AV,,2013/04/07 00:00:00+00,East Valley,Lane,2023/10/17 00:00:00+00
313,Backbone,Lane,RINALDI ST,SAN DIEGO FY,BLUCHER AV,,2005/01/01 00:00:00+00,West Valley,Lane,2023/10/17 00:00:00+00
314,Backbone,Lane,RINALDI ST,RUFFNER AV,BALBOA BL,,2005/01/01 00:00:00+00,West Valley,Lane,2023/10/17 00:00:00+00
315,Backbone,Lane,RINALDI ST,BALBOA BL,AMESTOY AV,,2005/01/01 00:00:00+00,West Valley,Lane,2023/10/17 00:00:00+00
316, ,Route,FOOTHILL BL,HILLHAVEN AV,VALAHO DR,,2016/04/01 00:00:00+00,East Valley,Route,2023/10/17 00:00:00+00
317, ,Route,TUJUNGA CANYON BL,PINEWOOD AV,SILVERTON AV,,2016/04/01 00:00:00+00,East Valley,Route,2023/10/17 00:00:00+00
318, ,Route,TUJUNGA CANYON BL,OLCOTT ST,HAYWOOD ST,,2016/04/01 00:00:00+00,East Valley,Route,2023/10/17 00:00:00+00
319,Backbone,Lane,IMPERIAL HY,AIRPORT TERMINAL ENTRANCE,MAIN ST (EL SEGUNDO),,2005/01/01 00:00:00+00,West Los Angeles,Lane,2023/10/17 00:00:00+00
320,Backbone,Lane,IMPERIAL HY,CALIFORNIA ST (EL SEGUNDO),900' W/O CALIFORNIA ST (EL SEGUNDO),,2005/01/01 00:00:00+00,West Los Angeles,Lane,2023/10/17 00:00:00+00
321,Neighborhood,Lane,PERSHING DR,SANDPIPER ST,WORLD WAY WEST,,2006/10/13 00:00:00+00,West Los Angeles,Lane,2023/10/17 00:00:00+00
322,Neighborhood,Lane,PERSHING DR,SANDPIPER ST,WORLD WAY WEST,,2006/10/13 00:00:00+00,West Los Angeles,Lane,2023/10/17 00:00:00+00
323,Neighborhood,Lane,PERSHING DR,WORLD WAY WEST,IMPERIAL HY,,2006/10/13 00:00:00+00,West Los Angeles,Lane,2023/10/17 00:00:00+00
324,Neighborhood,Lane,PERSHING DR,WESTCHESTER PY,SANDPIPER ST,,2006/10/13 00:00:00+00,West Los Angeles,Lane,2023/10/17 00:00:00+00
325,Backbone,Lane,WESTCHESTER PY,FALMOUTH AV,PERSHING DR,,2005/01/01 00:00:00+00,West Los Angeles,Lane,2023/10/17 00:00:00+00
326, ,Lane,DEGNAN BL,41ST ST,STOCKER ST,,2012/12/16 00:00:00+00,South Los Angeles,Lane,2023/10/17 00:00:00+00
327, ,Lane,GLENOAKS BL,FILMORE ST,VAN NUYS BL,,2013/02/13 00:00:00+00,East Valley,Lane,2023/10/17 00:00:00+00
328,Backbone,Lane,GLENOAKS BL,BRANFORD ST,TRUESDALE ST,,2005/01/01 00:00:00+00,East Valley,Lane,2023/10/17 00:00:00+00
329,Backbone,Lane,GLENOAKS BL,PIERCE ST,GAIN ST,,2005/01/01 00:00:00+00,East Valley,Lane,2023/10/17 00:00:00+00
330,Backbone,Lane,GLENOAKS BL,VINEDALE ST/HELEN AV,NETTLETON ST/WHEATLAND ST,,2005/01/01 00:00:00+00,East Valley,Lane,2023/10/17 00:00:00+00
331,Neighborhood,Lane,HOOVER ST,20TH ST,SANTA MONICA FY,,2005/01/01 00:00:00+00,South Los Angeles,Lane,2023/10/17 00:00:00+00
332,Neighborhood,Lane,HOOVER ST,SANTA MONICA FY,22ND ST,,2005/01/01 00:00:00+00,South Los Angeles,Lane,2023/10/17 00:00:00+00
333,Neighborhood,Buffer Bike Lane,HOOVER ST,200' S/O 115TH ST,117TH ST,,2023/01/26 00:00:00+00,South Los Angeles,Buffer Bike Lane,2023/10/17 00:00:00+00
334,Neighborhood,Lane,HOOVER ST,98TH ST,99TH ST,,2009/02/05 00:00:00+00,South Los Angeles,Lane,2023/10/17 00:00:00+00
335,Neighborhood,Route,HOOVER ST,71ST ST,FLORENCE AV,,2005/01/01 00:00:00+00,South Los Angeles,Route,2023/10/17 00:00:00+00
336,Backbone,Lane,VERMONT AV,97TH ST,98TH ST,,2012/04/26 00:00:00+00,South Los Angeles,Lane,2023/10/17 00:00:00+00
337,Backbone,Lane,VERMONT AV,103RD ST,104TH ST,,2012/04/26 00:00:00+00,South Los Angeles,Lane,2023/10/17 00:00:00+00
338,Backbone,Lane,VERMONT AV,COLDEN AV,97TH ST,,2012/04/26 00:00:00+00,South Los Angeles,Lane,2023/10/17 00:00:00+00
339,Backbone,Lane,VERMONT AV,101ST ST,102ND ST,,2012/04/26 00:00:00+00,South Los Angeles,Lane,2023/10/17 00:00:00+00
340,Backbone,Lane,VERMONT AV,111TH ST,112TH ST,,2012/04/26 00:00:00+00,South Los Angeles,Lane,2023/10/17 00:00:00+00
341,Backbone,Lane,VERMONT AV,115TH ST,170' S/O 115TH ST,,2012/04/26 00:00:00+00,South Los Angeles,Lane,2023/10/17 00:00:00+00
342,Backbone,Lane,VERMONT AV,149TH ST,MARINE AV,,2012/06/03 00:00:00+00,Harbor,Lane,2023/10/17 00:00:00+00
343, ,Lane,BROAD AV,G ST,F ST,,2012/08/18 00:00:00+00,Harbor,Lane,2023/10/17 00:00:00+00
344, ,Lane,ZELZAH AV,DEVONSHIRE ST,LEMARSH ST,,2012/09/09 00:00:00+00,West Valley,Lane,2023/10/17 00:00:00+00
345, ,Bicycle Friendly Street,YUCCA ST,WILCOX AV,GRACE AV,,2012/09/07 00:00:00+00,North Central,Bicycle Friendly Street,2023/10/17 00:00:00+00
346, ,Lane,MARINE AV,E ST,D ST,,2014/02/18 00:00:00+00,Harbor,Lane,2023/10/17 00:00:00+00
347, ,Lane,2ND ST,BROADWAY,HILL ST,,2013/11/11 00:00:00+00,North Central,Lane,2023/10/17 00:00:00+00
